hour,sentiment,tweets,topics,sampleTweets,hashtags
Mon Jul 06 10:00:03 UTC 2015,false,756,null,null,null
Mon Jul 06 10:00:03 UTC 2015,true,715,null,null,null
Mon Jul 06 11:00:03 UTC 2015,false,1137,null,null,null
Mon Jul 06 11:00:03 UTC 2015,true,1256,null,null,null
Mon Jul 06 12:00:03 UTC 2015,false,976,"pakistan,pti,khan,naya,younis,butt,http,test,bill,hundreds","RT @najamsethi: PTI internal meeting has decided to reverse public confessions by IK/Alvi &amp; launch PTI trolls against me. They think Pakist…|RT @OverseasPti: Retweet if u are also anxiously waiting for 'Naya Pakistan'   #انشاءاللہ_نیا_پاکستان http://t.co/bPbELIBQMJ|RT @SarahJawadKhan: Jahangir Tareen's daughter Seher desperate 4 Canadian passport, has paid millions. Naya Pakistan 4 poor people only! ht…","انشاءاللہ_نیا_پاکستان,pti,justicefordjbutt,ik,slvpak,pakistan,djbutt,corruptionkinggovtofsindh,kpk,pmln"
Mon Jul 06 12:00:03 UTC 2015,true,1506,"khan,pakistan,pti,younis,masood,shan,butt,runs,test,day","RT @lion_faisal: All Patriots love PTI and Army  #SuggestNamesForCMShowbaz  #UnbiasedKarachiOperation http://t.co/qbg20ycUUB|#انشاءاللہ_نیا_پاکستان 0NE BIGGEST LEADER IMRAN KHAN KY SATH NAYA PAKISTAN INSHALLAH....AMEEN #IMRANKHANPTI|RT @Annasiqbal001: Allahamdulillah #KPK has started generating it's own Power, a big step for energy crisis.  #انشاءاللہ_نیا_پاکستان http:/…","pti,انشاءاللہ_نیا_پاکستان,slvpak,pakistan,pakvsl,imrankhan,justicefordjbutt,cricket,djbutt,corruptionkinggovtofsindh"
Mon Jul 06 13:00:03 UTC 2015,false,587,null,null,null
Mon Jul 06 13:00:03 UTC 2015,true,793,null,null,null
Mon Jul 06 14:00:03 UTC 2015,false,506,null,null,null
Mon Jul 06 14:00:03 UTC 2015,true,713,null,null,null
Mon Jul 06 15:00:03 UTC 2015,false,954,null,null,null
Mon Jul 06 15:00:03 UTC 2015,true,973,null,null,null
Mon Jul 06 16:00:03 UTC 2015,false,721,null,null,null
Mon Jul 06 16:00:03 UTC 2015,true,922,null,null,null
Mon Jul 06 17:00:03 UTC 2015,false,747,null,null,null
Mon Jul 06 17:00:03 UTC 2015,true,889,null,null,null
Mon Jul 06 18:00:03 UTC 2015,false,760,null,null,null
Mon Jul 06 18:00:03 UTC 2015,true,960,null,null,null
Mon Jul 06 19:00:03 UTC 2015,false,515,null,null,null
Mon Jul 06 19:00:03 UTC 2015,true,535,null,null,null
Mon Jul 06 20:00:03 UTC 2015,false,491,null,null,null
Mon Jul 06 20:00:03 UTC 2015,true,439,null,null,null
Mon Jul 06 21:00:03 UTC 2015,false,429,null,null,null
Mon Jul 06 21:00:03 UTC 2015,true,453,null,null,null
Mon Jul 06 22:00:03 UTC 2015,false,352,null,null,null
Mon Jul 06 22:00:03 UTC 2015,true,348,null,null,null
Mon Jul 06 23:00:03 UTC 2015,false,358,null,null,null
Mon Jul 06 23:00:03 UTC 2015,true,330,null,null,null
Tue Jul 07 00:00:03 UTC 2015,false,206,null,null,null
Tue Jul 07 00:00:03 UTC 2015,true,223,null,null,null
Tue Jul 07 01:00:03 UTC 2015,false,103,null,null,null
Tue Jul 07 01:00:03 UTC 2015,true,119,null,null,null
Tue Jul 07 02:00:03 UTC 2015,false,130,null,null,null
Tue Jul 07 02:00:03 UTC 2015,true,177,null,null,null
Tue Jul 07 03:00:03 UTC 2015,false,94,null,null,null
Tue Jul 07 03:00:03 UTC 2015,true,102,null,null,null
Tue Jul 07 04:00:03 UTC 2015,false,133,null,null,null
Tue Jul 07 04:00:03 UTC 2015,true,196,null,null,null
Tue Jul 07 05:00:03 UTC 2015,false,196,null,null,null
Tue Jul 07 05:00:03 UTC 2015,true,347,null,null,null
Tue Jul 07 06:00:03 UTC 2015,false,223,null,null,null
Tue Jul 07 06:00:03 UTC 2015,true,566,null,null,null
Tue Jul 07 07:00:03 UTC 2015,false,550,null,null,null
Tue Jul 07 07:00:03 UTC 2015,true,1378,null,null,null
Tue Jul 07 08:00:03 UTC 2015,false,630,null,null,null
Tue Jul 07 08:00:03 UTC 2015,true,1153,"khan,pakistan,younis,test,series,171,victory,brilliant,3rd,runs","@PTIofficial @ImranKhanPTI Celebrity Moulvis &amp; their agendas...! http://t.co/cSjvUp2jpV|Lunch Break, Pakistan 321/3 (92.0 OvEr) Misbah Ul Haq 27 Younus Khan 142, Need 56 Runs To Win, Today One Wkt Shan Masood 125, #SLVPAK|In this series Younis Khan crossed Hayden &amp; Laxman on all time highest test runs list. Possible to cross Inzy and Miandad too #Pakistan","slvpak,pakvsl,pakistan,pti,cricket,pakvssl,kpalerts,nayakp,imrankhan,ms"
Tue Jul 07 09:00:03 UTC 2015,false,445,null,null,null
Tue Jul 07 09:00:03 UTC 2015,true,682,null,null,null
Tue Jul 07 10:00:03 UTC 2015,false,382,null,null,null
Tue Jul 07 10:00:03 UTC 2015,true,878,null,null,null
Tue Jul 07 11:00:03 UTC 2015,false,343,null,null,null
Tue Jul 07 11:00:03 UTC 2015,true,605,null,null,null
Tue Jul 07 12:00:03 UTC 2015,false,495,null,null,null
Tue Jul 07 12:00:03 UTC 2015,true,919,null,null,null
Tue Jul 07 13:00:03 UTC 2015,false,364,null,null,null
Tue Jul 07 13:00:03 UTC 2015,true,757,null,null,null
Tue Jul 07 14:00:03 UTC 2015,false,245,null,null,null
Tue Jul 07 14:00:03 UTC 2015,true,315,null,null,null
Tue Jul 07 15:00:03 UTC 2015,false,439,null,null,null
Tue Jul 07 15:00:03 UTC 2015,true,538,null,null,null
Tue Jul 07 16:00:03 UTC 2015,false,308,null,null,null
